loss,mean_squared_error,val_loss,val_mean_squared_error
1.5118,0.3024,1.8813,0.3763
1.7095,0.3419,1.4972,0.2994
1.6608,0.3322,1.5801,0.316
1.795,0.359,2.9427,0.5885
1.6417,0.3283,1.6138,0.3228
1.9483,0.3897,2.9389,0.5878
1.673,0.3346,1.7678,0.3536
1.6879,0.3376,2.1233,0.4247
1.617,0.3234,2.2512,0.4502
1.6398,0.328,2.2846,0.4569
1.5662,0.3132,2.0157,0.4031
1.7221,0.3444,1.4753,0.2951
1.5701,0.314,1.8776,0.3755
1.4549,0.291,1.3985,0.2797
1.5095,0.3019,1.6938,0.3388
1.6097,0.3219,1.3386,0.2677
1.6214,0.3243,1.6593,0.3319
1.4482,0.2896,1.6603,0.3321
1.5611,0.3122,1.8366,0.3673
1.4415,0.2883,1.6388,0.3278
1.4377,0.2875,1.4297,0.2859
1.6639,0.3328,1.5547,0.3109
1.6248,0.325,1.987,0.3974
1.475,0.295,1.3241,0.2648
1.338,0.2676,1.3768,0.2754
1.3502,0.27,1.4612,0.2922
1.3892,0.2778,1.4268,0.2854
1.3913,0.2783,1.4204,0.2841
1.4974,0.2995,1.3526,0.2705
1.4369,0.2874,1.3519,0.2704
1.3565,0.2713,1.3577,0.2715
1.4944,0.2989,1.5711,0.3142
1.4192,0.2838,1.3504,0.2701
1.6048,0.321,2.2068,0.4414
1.621,0.3242,1.8799,0.376
1.639,0.3278,2.1377,0.4275
1.6043,0.3209,1.6392,0.3278
1.4607,0.2921,2.3751,0.475
1.464,0.2928,1.6385,0.3277
1.3821,0.2764,2.6892,0.5378
